Name,Process-Heat treatment,Mg,Nd,Ce,La,Zn,Sn,Al,Ca,Zr,Ag,Ho,Mn,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Pr,Ga,Be,Fe,Ni,Sc,Tb,Dy,Er,Sr,Bi,Sum,YS(MPa),UTS(MPa),Ductility (%)
Mg-15Sc-1Mn ,"Cast (Any cast type, then heat treated)",83.4,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,100.000000,152.5,174.5,0.25
Mg-20Gd,"Cast (Any cast type, then heat treated)",80,0,0,0,0,0,0,0,0.27,0,0,0.01,0,19.7,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,265,330,2.7
Mg-Gd-Y-Zn-Zr (5),"Cast (Any cast type, then heat treated)",79.55,0,0,0,0,0,0,0,0.34,1.88,0,0,0,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,293,414,2.2
Mg-Y-Gd-Zr(3),Extruded,74.4,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,320,353,0.4
Mg-Al-Zn-Mn-Bi,"Cast (Die cast, HPDC, fast cool)",87,0,0,0,0.8,0,9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100.000000,162,224,3.2
Mg-8Al-5Ga-3Zn,Extruded,84,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100.000000,518,646,1.2
Mg-8Al-2Ga-Zn,Extruded,89,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.000000,518,646,1.2
Mg-9Al-2Ga,Extruded,89,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.000000,474,613,1.3
Mg-8Al-3Ga,Extruded,89,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.000000,498,630,2.6
Mg-8Al-2Ga,Extruded,90,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.000000,499,595,3.5